"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
AMAZONAS;ODONTOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;IMAZA;GD-5;00005084;CHIRIACO;I-3;REGIONAL;SI;NO
AMAZONAS;ODONTOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BONGARA;JUMBILLA;GD-3;00004917;JUMBILLA;I-3;REGIONAL;NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"ANTONIO
RAIMONDI";MIRGAS;GD-5;00001852;"PUESTO DE SALUD
MIRGAS";I-2;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARAZ;PAMPAS GRANDE;GD-4;00001584;PUESTO DE SALUD PAMPAS GRANDE;I-2;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARI;PONTO;GD-5;00001834;PUESTO DE SALUD SAN MIGUEL DE PONTO;I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUARI;RAPAYAN;GD-4;00001845;PUESTO DE SALUD RAPAYAN;I-2;REGIONAL;NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;HUARI;"SAN PEDRO DE
CHANA";GD-5;00001838;"PUESTO DE SALUD
VICHON";I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;HUAYLAS;PAMPAROMAS;GD-5;00001623;PUESTO DE SALUD PISHA;I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;"SEDE
CENTRAL";1;ANCASH;"GOBIERNO
REGIONAL";ANCASH;"MARISCAL
LUZURIAGA";"FIDEL OLIVAS
ESCUDERO";GD-5;00001794;"PUESTO DE SALUD
PARCO";I-1;REGIONAL;NO;NO
ANCASH;ENFERMERIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;GD-5;00001784;PUESTO DE SALUD SOCOSBAMBA;I-1;REGIONAL;NO;NO
